Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,11/19/2007,75.83,76.9,74.18,75.92,1672800.0,0.0,1.0
WHR,11/20/2007,75.89,75.98,73.17,74.7,1964200.0,0.0,1.0
WHR,11/21/2007,73.25,76.94,72.15,76.03,1619800.0,0.0,1.0
WHR,11/23/2007,76.69,78.1,76.41,77.88,346600.0,0.0,1.0
WHR,11/26/2007,78.11,79.0,75.55,75.55,1000300.0,0.0,1.0
WHR,11/27/2007,75.79,78.0,75.67,77.65,1292000.0,0.0,1.0
WHR,11/28/2007,78.39,79.93,77.7,79.64,1027000.0,0.0,1.0
WHR,11/29/2007,79.54,79.54,77.86,79.35,858500.0,0.0,1.0
WHR,11/30/2007,80.0,81.99,78.56,80.96,1747700.0,0.0,1.0
WHR,12/03/2007,81.51,81.64,79.38,80.8,811200.0,0.0,1.0
WHR,12/04/2007,80.16,81.78,79.59,81.25,897200.0,0.0,1.0
WHR,12/05/2007,81.84,83.42,81.09,83.42,1218700.0,0.0,1.0
WHR,12/06/2007,83.39,86.45,82.93,85.66,1466700.0,0.0,1.0
WHR,12/07/2007,85.65,86.87,85.23,85.78,994700.0,0.0,1.0
WHR,12/10/2007,86.01,88.91,85.6,88.54,1058400.0,0.0,1.0
WHR,12/11/2007,89.87,89.87,82.68,83.24,2634400.0,0.0,1.0
WHR,12/12/2007,85.69,86.35,82.53,83.98,2363300.0,0.0,1.0
WHR,12/13/2007,83.73,83.73,81.79,83.44,1337300.0,0.0,1.0
WHR,12/14/2007,82.91,82.91,80.13,81.29,1975000.0,0.0,1.0
WHR,12/17/2007,80.78,82.38,79.77,80.42,1522000.0,0.0,1.0
WHR,12/18/2007,81.09,82.39,78.75,81.47,1752000.0,0.0,1.0
WHR,12/19/2007,81.65,81.65,80.06,80.61,1112900.0,0.0,1.0
WHR,12/20/2007,81.62,81.7,79.89,81.55,788300.0,0.0,1.0
WHR,12/21/2007,82.08,82.98,81.22,82.57,1152300.0,0.0,1.0
WHR,12/24/2007,82.68,83.72,82.28,83.46,207700.0,0.0,1.0
WHR,12/26/2007,83.3,83.3,81.7,83.23,483900.0,0.0,1.0
WHR,12/27/2007,81.66,83.09,81.16,81.48,470500.0,0.0,1.0
WHR,12/28/2007,81.51,82.45,80.36,80.79,916300.0,0.0,1.0
WHR,12/31/2007,80.6,82.26,80.21,81.63,755700.0,0.0,1.0
WHR,01/02/2008,81.42,81.45,78.42,79.88,1523400.0,0.0,1.0
WHR,01/03/2008,80.2,80.49,78.69,79.12,1423600.0,0.0,1.0
WHR,01/04/2008,78.6,79.11,75.12,75.64,2325800.0,0.0,1.0
WHR,01/07/2008,76.25,76.65,75.01,76.15,1361900.0,0.0,1.0
