Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,,,,,
HK_0700,SHORT,2010-01-20,158,43,No-Exit,0,0,2010-01-20,156.42,67.94,2010-02-12,148.48,409.36,67.94,409.36,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0168', 'HK_0683', 'HK_0363', 'HK_1211', 'HK_0914', 'HK_0700'],
HK_0168,SHORT,2010-01-21,41.63,183,No-Exit,0,0,2010-01-21,41.21,76.95,2010-02-18,38,664.29,76.95,664.29,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0363', 'HK_1211', 'HK_0914', 'HK_0700'],,
HK_2338,SHORT,2010-01-22,63,115,No-Exit,0,0,2010-01-22,62.37,72.45,2010-02-18,57.78,600.3,72.45,600.3,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0363', 'HK_1211', 'HK_0914', 'HK_0700'],,,
HK_0363,SHORT,2010-01-25,38.56,197,No-Exit,0,0,2010-01-26,38.17,76.04,2010-03-01,35.15,671.77,76.04,671.77,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1211', 'HK_0914', 'HK_0700'],,,,
HK_0914,SHORT,2009-12-18,48.5,128,No-Exit,0,0,2009-12-18,48.02,62.08,2010-03-08,50.4,-243.19,62.08,62.08,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1211', 'HK_0700'],,,,,
HK_0683,SHORT,2009-12-17,40.74,154,No-Exit,0,0,2009-12-17,40.33,63.22,2010-03-26,42.01,-195.58,63.22,63.22,BB 20 SMA Xover Mtm,['HK_0392', 'HK_0683', 'HK_1211', 'HK_0700'],,,,
HK_0700,SHORT,2010-05-07,147.9,46,No-Exit,0,0,No-Exit,0,0,2010-05-14,161.79,-638.94,-638.94,-638.94,BB 20 SMA Xover Mtm,['HK_0168', 'HK_0683', 'HK_1044', 'HK_1211', 'HK_0700'],,,
HK_0168,SHORT,2010-04-29,38.81,171,No-Exit,0,0,2010-04-29,38.42,67.03,2010-05-31,37.46,230.85,67.03,230.85,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1044', 'HK_1211', 'HK_0700'],,,,
HK_1044,SHORT,2010-05-07,53.75,115,No-Exit,0,0,2010-05-18,53.21,62.44,2010-06-10,58.5,-546.25,62.44,62.44,BB 20 SMA Xover Mtm,['HK_2333', 'HK_0683', 'HK_1211', 'HK_0700'],,,,
HK_2333,SHORT,2010-06-08,37.01,193,No-Exit,0,0,2010-06-08,36.63,72.72,2010-06-14,38.94,-372.49,72.72,72.72,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1211', 'HK_0700'],,,,,
HK_1044,SHORT,2010-07-05,60.54,125,2010-07-05,61.82,-160,No-Exit,0,0,2010-07-06,62.8,-282.5,-160,-160,BB 20 SMA Xover Mtm,['HK_0168', 'HK_2333', 'HK_0683', 'HK_1211', 'HK_0700'],,,
HK_2333,SHORT,2010-07-05,38.97,170,2010-07-05,40.83,-316.2,2010-07-05,38.58,66.91,2010-07-06,40.83,-316.2,-316.2,-316.2,BB 20 SMA Xover Mtm,['HK_0168', 'HK_0683', 'HK_1211', 'HK_0700'],,,,
HK_0941,SHORT,2010-07-16,77.17,96,No-Exit,0,0,No-Exit,0,0,2010-07-28,79.26,-200.64,-200.64,-200.64,BB 20 SMA Xover Mtm,['HK_0168', 'HK_0683', 'HK_1211', 'HK_0700'],,,,
HK_0168,SHORT,2010-06-30,36.3,207,No-Exit,0,0,2010-07-05,35.94,73.8,2010-08-09,37.97,-345.69,73.8,73.8,BB 20 SMA Xover Mtm,['HK_0392', 'HK_0683', 'HK_1211', 'HK_0700'],,,,
HK_0392,SHORT,2010-08-27,53.56,151,2010-08-27,54.7,-172.14,No-Exit,0,0,2010-08-30,54.7,-172.14,-172.14,-172.14,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0392', 'HK_0683', 'HK_0941', 'HK_0700'],,,
HK_2338,SHORT,2010-08-27,62.2,114,No-Exit,0,0,2010-08-27,61.58,70.91,2010-08-30,64.15,-222.32,70.91,70.91,BB 20 SMA Xover Mtm,['HK_0392', 'HK_0683', 'HK_0941', 'HK_0700'],,,,
HK_0700,SHORT,2010-08-24,146.62,45,No-Exit,0,0,2010-08-24,145.15,66.15,2010-09-06,150.48,-173.7,66.15,66.15,BB 20 SMA Xover Mtm,['HK_0392', 'HK_0683', 'HK_0941', 'HK_0700'],,,,
HK_0941,SHORT,2010-08-25,79.5,92,No-Exit,0,0,2010-09-01,78.7,73.55,2010-10-07,82.48,-274.16,73.55,73.55,BB 20 SMA Xover Mtm,['HK_0392', 'HK_0683', 'HK_0700'],,,,,
HK_0700,SHORT,2010-10-29,174.74,42,No-Exit,0,0,No-Exit,0,0,2010-11-01,186,-472.92,-472.92,-472.92,BB 20 SMA Xover Mtm,['HK_0392', 'HK_0683', 'HK_0700'],,,,,
HK_0168,SHORT,2010-12-07,40.49,192,2010-12-07,41.71,-234.24,2010-12-07,40.08,78.53,2010-12-08,42.55,-395.52,-234.24,-234.24,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0700'],,,,,
HK_2338,SHORT,2010-11-17,49.4,144,No-Exit,0,0,2010-11-17,48.91,71.14,2010-12-13,54.6,-748.81,71.14,71.14,BB 20 SMA Xover Mtm,['HK_2333', 'HK_0683', 'HK_0700'],,,,,
HK_0700,SHORT,2010-12-17,172.06,41,No-Exit,0,0,2010-12-17,170.34,70.6,2010-12-23,177,-202.54,70.6,70.6,BB 20 SMA Xover Mtm,['HK_2333', 'HK_0683', 'HK_0700'],,,,,
HK_2333,SHORT,2010-12-09,77.22,100,No-Exit,0,0,2010-12-09,76.44,78,2011-01-11,73.5,372,78,372,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0700'],,,,,,
HK_0914,SHORT,2011-02-23,35.49,159,No-Exit,0,0,2011-02-23,35.13,57.56,2011-02-28,36.47,-155.82,57.56,57.56,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0168', 'HK_0683', 'HK_1044', 'HK_0700'],,,
HK_0700,SHORT,2011-02-23,193.3,33,No-Exit,0,0,2011-02-23,191.37,63.79,2011-02-28,201.89,-283.47,63.79,63.79,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0168', 'HK_0683', 'HK_1044', 'HK_0700'],,,
HK_0168,SHORT,2011-02-17,35.05,188,No-Exit,0,0,2011-02-22,34.7,65.99,2011-03-01,37,-366.6,65.99,65.99,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_1044', 'HK_0914', 'HK_0700'],,,
HK_1044,SHORT,2011-02-24,56.92,124,No-Exit,0,0,2011-02-24,56.34,71.3,2011-03-01,58.94,-250.48,71.3,71.3,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0914', 'HK_0700'],,,,
HK_2338,SHORT,2011-02-25,50,139,No-Exit,0,0,2011-02-28,49.5,69.78,2011-03-01,53.3,-458.7,69.78,69.78,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0914', 'HK_0700'],,,,,
HK_2333,SHORT,2011-03-14,36,150,2011-03-14,36.86,-129,No-Exit,0,0,2011-03-15,37.8,-270,-129,-129,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0914', 'HK_0700'],,,,,
HK_2333,SHORT,2011-03-17,34.26,151,No-Exit,0,0,2011-03-17,33.92,51.73,2011-03-21,36.81,-385.05,51.73,51.73,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_1044', 'HK_0914', 'HK_0700'],,,
HK_1044,SHORT,2011-03-16,57.27,82,No-Exit,0,0,2011-03-16,56.69,47.44,2011-03-23,59.56,-187.78,47.44,47.44,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_0914', 'HK_0700'],,,,
HK_0941,SHORT,2011-03-16,71.53,75,No-Exit,0,0,2011-03-17,70.83,52.57,2011-04-04,75.95,-331.5,52.57,52.57,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0914', 'HK_0700'],,,,
HK_0700,SHORT,2011-03-18,191.27,30,No-Exit,0,0,2011-03-23,189.37,57.15,2011-04-20,212.06,-623.7,57.15,57.15,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_1044', 'HK_0914', 'HK_0700'],,,
HK_0683,SHORT,2011-01-28,41.93,144,No-Exit,0,0,2011-01-31,41.52,59.47,2011-04-29,41.5,61.92,59.47,61.92,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_1044', 'HK_0700'],,,,
HK_1088,SHORT,2011-04-29,35.89,119,No-Exit,0,0,2011-05-04,35.53,42.66,2011-05-27,36.89,-119,42.66,42.66,BB 20 SMA Xover Mtm,['HK_2333', 'HK_0683', 'HK_1044', 'HK_0914', 'HK_0700'],,,
HK_0914,SHORT,2011-04-29,35.29,139,No-Exit,0,0,2011-05-04,34.93,49.62,2011-05-30,34.3,137.61,49.62,137.61,BB 20 SMA Xover Mtm,['HK_2333', 'HK_0683', 'HK_1044', 'HK_0700'],,,,
HK_1044,SHORT,2011-06-20,66.28,93,2011-06-20,67.92,-152.52,No-Exit,0,0,2011-06-21,68.8,-234.36,-152.52,-152.52,BB 20 SMA Xover Mtm,['HK_0168', 'HK_2333', 'HK_0683', 'HK_0941', 'HK_1044', 'HK_0700'],,
HK_2333,SHORT,2011-05-03,41.34,120,No-Exit,0,0,2011-05-03,40.92,50.11,2011-06-21,33.84,900,50.11,900,BB 20 SMA Xover Mtm,['HK_0168', 'HK_0683', 'HK_0941', 'HK_1044', 'HK_0700'],,,
HK_0941,SHORT,2011-06-17,69.1,90,No-Exit,0,0,No-Exit,0,0,2011-06-24,71.5,-216,-216,-216,BB 20 SMA Xover Mtm,['HK_0168', 'HK_0683', 'HK_1044', 'HK_0700'],,,,
HK_0168,SHORT,2011-06-13,43.56,144,No-Exit,0,0,2011-06-13,43.12,63.07,2011-06-30,45.09,-220.32,63.07,63.07,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1044', 'HK_0700'],,,,,
HK_0392,SHORT,2011-07-14,38.61,163,No-Exit,0,0,2011-07-15,38.22,62.84,2011-08-01,40.32,-278.73,62.84,62.84,BB 20 SMA Xover Mtm,['HK_2333', 'HK_0683', 'HK_1044', 'HK_0700'],,,,
HK_0941,SHORT,2011-08-08,72.9,74,No-Exit,0,0,2011-08-08,72.17,53.95,2011-08-16,75.9,-222,53.95,53.95,BB 20 SMA Xover Mtm,['HK_0392', 'HK_2333', 'HK_0683', 'HK_0700'],,,,
