Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
TAP,LONG,2008-11-06,43.55,2378,No-Exit,0,0,2008-11-25,42.88,-1593.26,-1593.26,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2014-03-14,75.05,1850,No-Exit,0,0,2014-03-19,76.04,-1826.21,-1826.21,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,LONG,2011-10-24,500.41,237,No-Exit,0,0,2011-11-01,492.08,-1974.21,-1974.21,BB 20 SMA Xover Mtm,['CMG'],,,
AMZN,SHORT,2012-10-10,248.45,1034,No-Exit,0,0,2012-10-18,250.44,-2057.66,-2057.66,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2014-12-26,345.52,1012,No-Exit,0,0,2014-12-31,343.23,-2317.48,-2317.48,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2007-11-09,24.45,3186,No-Exit,0,0,2007-11-14,25.31,-2735.41,-2735.41,BB 20 SMA Xover Mtm,['FTI'],,,
AAPL,SHORT,2011-08-05,53.37,4375,No-Exit,0,0,2011-08-12,54.01,-2800,-2800,BB 20 SMA Xover Mtm,[],,,
AMZN,LONG,2010-07-13,120.71,2379,No-Exit,0,0,2010-07-15,119.45,-2997.54,-2997.54,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2010-06-30,36.23,8023,No-Exit,0,0,2010-07-07,36.68,-3610.35,-3610.35,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2011-08-29,55.45,2142,No-Exit,0,0,2011-09-12,53.7,-3760.74,-3760.74,BB 20 SMA Xover Mtm,['QCOM'],,,
AAPL,LONG,2012-11-26,82.46,3204,No-Exit,0,0,2012-12-05,81.27,-3803.61,-3803.61,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2009-07-07,19.6,12307,No-Exit,0,0,2009-07-13,19.93,-4114.05,-4114.05,BB 20 SMA Xover Mtm,[],,,
FSLR,SHORT,2009-01-14,137.01,744,No-Exit,0,0,2009-01-15,143.38,-4739.28,-4739.28,BB 20 SMA Xover Mtm,['GD'],,,
CMG,SHORT,2012-04-23,413.9,638,No-Exit,0,0,2012-05-01,421.41,-4791.38,-4791.38,BB 20 SMA Xover Mtm,[],,,
AXP,SHORT,2010-01-25,38.2,5736,No-Exit,0,0,2010-02-02,39.06,-4932.96,-4932.96,BB 20 SMA Xover Mtm,['AAPL'],,,
NFLX,SHORT,2014-09-16,448.4,605,No-Exit,0,0,2014-10-03,456.81,-5088.05,-5088.05,BB 20 SMA Xover Mtm,['AAPL', 'JNJ'],,
EQT,SHORT-SPY-NULL,2014-03-26,98.09,1380,No-Exit,0,0,2014-04-03,101.79,-5106,0,BB 20 SMA Xover Mtm,['CMG'],,,
VLO,LONG,2013-04-25,42.39,1809,No-Exit,0,0,2013-05-01,39.53,-5173.74,-5173.74,BB 20 SMA Xover Mtm,['GD', 'BRCM', 'PCLN', 'AAPL']
AAPL,SHORT,2014-12-09,110.19,3189,No-Exit,0,0,2014-12-18,111.87,-5357.52,-5357.52,BB 20 SMA Xover Mtm,['PCLN'],,,
CME,SHORT,2009-09-04,53.75,4415,No-Exit,0,0,2009-09-11,55.04,-5686.52,-5686.52,BB 20 SMA Xover Mtm,['FSLR'],,,
AMZN,SHORT,2012-07-11,217.31,644,No-Exit,0,0,2012-07-19,227.3,-6433.56,-6433.56,BB 20 SMA Xover Mtm,['FFIV', 'QCOM', 'CRM'],
AAPL,SHORT,2009-02-20,12.77,16915,No-Exit,0,0,2009-02-25,13.16,-6572.69,-6572.69,BB 20 SMA Xover Mtm,[],,,
CRM,LONG,2012-07-19,34.06,2479,No-Exit,0,0,2012-07-25,31.38,-6643.72,-6643.72,BB 20 SMA Xover Mtm,['QCOM'],,,
FSLR,LONG,2009-09-09,136.6,1561,No-Exit,0,0,2009-09-14,131.78,-7524.02,-7524.02,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2012-07-11,642.16,217,No-Exit,0,0,2012-07-19,677.66,-7703.5,-7703.5,BB 20 SMA Xover Mtm,['AMZN'],,,
FFIV,LONG,2012-07-19,99.58,891,No-Exit,0,0,2012-07-23,90.84,-7787.34,-7787.34,BB 20 SMA Xover Mtm,['QCOM', 'CRM'],,
CME,LONG,2013-09-20,74.6,3968,No-Exit,0,0,2013-10-09,72.57,-8055.04,-8055.04,BB 20 SMA Xover Mtm,['HCP', 'AMZN'],,
HUM,LONG,2008-11-06,36.37,2759,No-Exit,0,0,2008-11-12,33.22,-8690.85,-8690.85,BB 20 SMA Xover Mtm,['TAP', 'AAPL'],,
CMG,LONG,2011-10-24,336.82,353,No-Exit,0,0,2011-11-21,304.83,-11292.47,-11292.47,BB 20 SMA Xover Mtm,['PCLN', 'CRM'],,
AAPL,SHORT,2014-09-04,97.95,3247,No-Exit,0,0,2014-10-09,101.54,-11656.73,-11656.73,BB 20 SMA Xover Mtm,['JNJ'],,,
AAPL,LONG,2012-05-24,82.32,3353,No-Exit,0,0,2012-06-04,78.77,-11903.15,-11903.15,BB 20 SMA Xover Mtm,['DISCA'],,,
