Company,Stock Symbol
EXTREME NETWORKS INC EXTR,EXTR
ENERGY XXI (BERMUDA) LT EXXI,EXXI
EZCORP INC EZPW,EZPW
FIRST AMERICAN FINL COR FAF,FAF
FALCONSTOR SOFTWARE FALC,FALC
FARMER BROS CO FARM,FARM
FARO TECHNOLOGIES INC FARO,FARO
FLAGSTAR BANCORP INC FBC,FBC
FBR & CO FBCM,FBCM
FURNITURE BRANDS INTL FBN,FBN
FIRST BANCORP NC FBNC,FBNC
FRANKLIN COVEY CO FC,FC
FIRST CMNTY BANCSHAR FCBC,FCBC
FUELCELL ENERGY INC FCEL,FCEL
FIRST COMMONWLTH FINL FCF,FCF
FIRST CASH FINANCIAL FCFS,FCFS
